fraction,loocv_rmse,kfold_rmse
0.1,0.5529451197940227,0.683411222416616
0.15,0.5654751850819626,0.6849427710400813
0.2,0.5732537841624401,0.6859473307439924
0.25,0.5780557873052167,0.6947784828383674
0.3,0.5823610732856722,0.7059939278738447
0.35,0.5899420828784051,0.6755218652158449
0.4,0.5975544643169463,0.6809532953873223
0.45,0.6035610087482071,0.6913261866243351
0.5,0.6121797407389669,0.698434203023264
0.6,0.6286631582708456,0.7131828767656918
0.7,0.6440641412957054,0.7155819942763593
0.8,0.6622300618914254,0.7323061093061879
